user,use_tue_laptop,right_handed,platform,platform_version
2313,1,1,Windows,10
2314,1,1,Windows,10
2320,1,1,Windows,10
2325,1,1,Windows,10
2326,1,1,Windows,10
2331,1,0,Windows,10
2335,0,1,Darwin,18.2.0
2337,1,1,Windows,10
2338,1,1,Windows,10
2340,1,1,Windows,10
2342,1,1,Windows,10
2343,1,1,Windows,10
2346,1,1,Windows,10
2349,1,1,Windows,10
2351,1,1,Windows,10
2355,1,1,Windows,10
2360,1,1,Windows,10
2363,1,0,Windows,10
2364,1,1,Windows,10
2365,1,0,Windows,10
2371,1,0,Windows,10
2374,1,1,Windows,10
2379,1,1,Windows,10
2382,1,1,Windows,10
2383,1,1,Windows,10
2384,1,1,Windows,10
2386,0,1,Darwin,18.2.0
2387,1,1,Windows,10
2388,1,0,Windows,10
2394,1,1,Windows,10
2399,1,1,Windows,10
2400,1,1,Windows,10
2402,1,1,Windows,10
2403,0,1,Darwin,17.7.0
2410,1,1,Windows,10
2413,1,1,Windows,10
2414,1,1,Windows,10
2419,0,1,Darwin,15.6.0
2421,1,1,Windows,10
2423,1,1,Windows,10
2424,1,0,Windows,10
2426,1,0,Windows,10
2429,1,1,Windows,10
2431,1,1,Windows,10
2432,1,1,Windows,10
2438,0,0,Darwin,18.2.0
2441,1,1,Windows,10
2442,1,1,Windows,10
2444,1,1,Windows,10
2445,1,1,Windows,10
2450,1,1,Windows,10
2453,0,1,Windows,10
2455,1,0,Windows,10
2458,1,1,Windows,10
2459,1,1,Windows,10
2464,1,1,Windows,10
2465,1,1,Windows,10
2467,0,1,Windows,10
2470,0,1,Darwin,18.2.0
2471,0,1,Darwin,16.3.0
2472,1,1,Windows,10
2473,0,1,Darwin,18.2.0
2482,1,1,Windows,10
2483,1,1,Windows,10
2486,0,1,Windows,10
2487,1,1,Windows,10
2488,0,1,Windows,10
2494,1,0,Windows,10
2495,1,1,Windows,10
2496,0,1,Darwin,18.2.0
2498,1,1,Windows,10
2499,1,1,Windows,10
2502,1,0,Windows,10
2503,1,1,Windows,10
2504,1,1,Windows,10
2507,1,1,Windows,10
2510,0,1,Windows,10
2511,1,1,Windows,10
2519,1,1,Windows,10
2520,1,1,Windows,10
2522,1,1,Windows,10
2524,1,1,Windows,10
2530,0,1,Windows,10
2535,0,1,Darwin,18.2.0
2536,0,1,Windows,10
2538,1,1,Windows,10
2539,1,1,Windows,10
2543,1,1,Windows,10
2546,1,1,Windows,10
2547,0,1,Windows,10
2556,1,1,Windows,10
2560,1,1,Windows,10
2562,1,1,Windows,10
2563,1,1,Windows,10
2565,1,1,Windows,10
2566,1,1,Windows,10
